pu_month,pu_day,pu_year,pu_time,do_month,do_day,do_year,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
01,01,2017,00:18,01,01,2017,00:29,0,0,Late Night,2,3.13,263,Yorkville West,42,Central Harlem North,Cash,12.3
01,01,2017,00:45,01,01,2017,00:52,0,0,Late Night,2,0.94,42,Central Harlem North,42,Central Harlem North,Cash,7.8
01,01,2017,00:24,01,01,2017,00:49,0,0,Late Night,1,5.5,238,Upper West Side North,113,Greenwich Village North,Cash,22.3
01,01,2017,00:51,01,01,2017,01:21,0,0,Late Night,1,4.64,113,Greenwich Village North,263,Yorkville West,Credit card,26.3
01,01,2017,00:16,01,01,2017,00:20,0,0,Late Night,5,1.04,143,Lincoln Square West,238,Upper West Side North,Credit card,8.05
01,01,2017,00:22,01,01,2017,00:30,0,0,Late Night,5,1.69,238,Upper West Side North,142,Lincoln Square East,Credit card,11.76
01,01,2017,00:44,01,01,2017,00:45,0,0,Late Night,5,0.61,143,Lincoln Square West,239,Upper West Side South,Credit card,6.3
01,01,2017,00:48,01,01,2017,00:54,0,0,Late Night,5,1.37,239,Upper West Side South,262,Yorkville East,Credit card,10.79
01,01,2017,00:59,01,01,2017,01:33,0,0,Late Night,5,10.67,141,Lenox Hill West,185,Pelham Parkway,Credit card,40.8
01,01,2017,00:04,01,01,2017,00:16,0,0,Late Night,3,2.3,68,East Chelsea,50,Clinton West,Credit card,14.15
01,01,2017,00:19,01,01,2017,00:47,0,0,Late Night,2,3.3,50,Clinton West,229,Sutton Place/Turtle Bay North,Credit card,23.75
01,01,2017,00:52,01,01,2017,01:14,0,0,Late Night,2,4.8,229,Sutton Place/Turtle Bay North,223,Steinway,No charge,20.3
01,01,2017,00:49,01,01,2017,00:58,0,0,Late Night,1,1.91,211,SoHo,261,World Trade Center,Cash,9.3
01,01,2017,00:16,01,01,2017,00:24,0,0,Late Night,1,1.9,237,Upper East Side South,238,Upper West Side North,Cash,9.3
01,01,2017,00:30,01,01,2017,00:38,0,0,Late Night,1,1.53,239,Upper West Side South,24,Bloomingdale,Cash,9.3
01,01,2017,00:41,01,01,2017,00:54,0,0,Late Night,1,2.47,151,Manhattan Valley,42,Central Harlem North,Cash,12.8
01,01,2017,00:15,01,01,2017,00:20,0,0,Late Night,1,1.33,236,Upper East Side North,237,Upper East Side South,Credit card,9.8
01,01,2017,00:27,01,01,2017,00:33,0,0,Late Night,1,1.56,239,Upper West Side South,24,Bloomingdale,Credit card,10.3
01,01,2017,00:37,01,01,2017,00:53,0,0,Late Night,1,2.53,24,Bloomingdale,244,Washington Heights South,Credit card,16.56
01,01,2017,00:58,01,01,2017,01:08,0,0,Late Night,1,3.66,244,Washington Heights South,127,Inwood,Credit card,15.96
01,01,2017,00:16,01,01,2017,00:29,0,0,Late Night,2,2.9,249,West Village,50,Clinton West,Credit card,16.55
01,01,2017,00:45,01,01,2017,00:53,0,0,Late Night,1,0.9,68,East Chelsea,90,Flatiron,Credit card,9.35
01,01,2017,00:59,01,01,2017,01:45,0,0,Late Night,2,6.5,90,Flatiron,181,Park Slope,Dispute,32.8
01,01,2017,00:20,01,01,2017,00:54,0,0,Late Night,1,7.8,142,Lincoln Square East,167,Morrisania/Melrose,Cash,29.3
01,01,2017,00:13,01,01,2017,00:55,0,0,Late Night,2,2.16,142,Lincoln Square East,186,Penn Station/Madison Sq West,Credit card,30.36
01,01,2017,00:57,01,01,2017,01:23,0,0,Late Night,2,4.13,186,Penn Station/Madison Sq West,261,World Trade Center,Credit card,24.36
01,01,2017,00:40,01,01,2017,00:49,0,0,Late Night,1,1.5,170,Murray Hill,79,East Village,Credit card,11.3
01,01,2017,00:55,01,01,2017,01:14,0,0,Late Night,1,2.2,79,East Village,164,Midtown South,Credit card,16.3
01,01,2017,00:40,01,01,2017,00:47,0,0,Late Night,1,1.1,90,Flatiron,114,Greenwich Village South,Credit card,9.35
01,01,2017,00:50,01,01,2017,01:22,0,0,Late Night,1,4.8,114,Greenwich Village South,263,Yorkville West,Credit card,31.8
01,01,2017,00:40,01,01,2017,01:32,0,0,Late Night,1,11.27,211,SoHo,119,Highbridge,Cash,41.8
01,01,2017,00:25,01,01,2017,00:37,0,0,Late Night,3,3.1,137,Kips Bay,263,Yorkville West,Cash,13.3
01,01,2017,00:42,01,01,2017,00:50,0,0,Late Night,2,1.7,141,Lenox Hill West,170,Murray Hill,Credit card,11.15
01,01,2017,00:52,01,01,2017,01:11,0,0,Late Night,2,4.1,170,Murray Hill,255,Williamsburg (North Side),Credit card,28.54
01,01,2017,00:07,01,01,2017,00:14,0,0,Late Night,1,1.04,238,Upper West Side North,239,Upper West Side South,Cash,7.8
01,01,2017,00:21,01,01,2017,00:34,0,0,Late Night,1,1.74,142,Lincoln Square East,229,Sutton Place/Turtle Bay North,Credit card,13.56
01,01,2017,00:37,01,01,2017,00:43,0,0,Late Night,1,2.12,229,Sutton Place/Turtle Bay North,263,Yorkville West,Cash,9.3
01,01,2017,00:51,01,01,2017,01:03,0,0,Late Night,1,2.14,236,Upper East Side North,151,Manhattan Valley,Cash,11.8
01,01,2017,00:21,01,01,2017,00:38,0,0,Late Night,2,1.7,79,East Village,107,Gramercy,Credit card,14.8
01,01,2017,00:44,01,01,2017,00:49,0,0,Late Night,2,1.0,107,Gramercy,137,Kips Bay,Credit card,8.15
01,01,2017,00:58,01,01,2017,01:01,0,0,Late Night,2,0.4,164,Midtown South,164,Midtown South,Cash,5.3
01,01,2017,00:19,01,01,2017,00:30,0,0,Late Night,1,1.64,249,West Village,68,East Chelsea,Cash,9.8
01,01,2017,00:42,01,01,2017,00:43,0,0,Late Night,1,0.04,68,East Chelsea,68,East Chelsea,Cash,4.3
01,01,2017,00:14,01,01,2017,00:54,0,0,Late Night,1,4.8,48,Clinton East,148,Lower East Side,Cash,26.8
01,01,2017,00:56,01,01,2017,01:14,0,0,Late Night,1,2.36,148,Lower East Side,256,Williamsburg (South Side),Credit card,19.89
01,01,2017,00:27,01,01,2017,00:30,0,0,Late Night,1,0.3,239,Upper West Side South,239,Upper West Side South,Cash,5.3
01,01,2017,00:32,01,01,2017,00:54,0,0,Late Night,1,6.9,239,Upper West Side South,232,Two Bridges/Seward Park,Credit card,29.75
01,01,2017,00:43,01,01,2017,01:20,0,0,Late Night,1,5.5,170,Murray Hill,17,Bedford,Credit card,27.8
01,01,2017,00:26,01,01,2017,00:54,0,0,Late Night,1,3.0,162,Midtown East,50,Clinton West,Credit card,24.3
01,01,2017,00:59,01,01,2017,01:26,0,0,Late Night,2,3.3,50,Clinton West,79,East Village,Credit card,19.8
01,01,2017,00:26,01,01,2017,00:43,0,0,Late Night,1,1.4,50,Clinton West,68,East Chelsea,No charge,12.3
01,01,2017,00:57,01,01,2017,01:16,0,0,Late Night,1,2.0,68,East Chelsea,137,Kips Bay,Credit card,16.55
01,01,2017,00:12,01,01,2017,00:27,0,0,Late Night,1,7.6,236,Upper East Side North,87,Financial District North,Credit card,29.15
01,01,2017,00:29,01,01,2017,00:35,0,0,Late Night,1,2.8,87,Financial District North,4,Alphabet City,Cash,10.8
